BNC Code,Course Name,Semester,Room,Description,Credit,Prerequisite
CHI421.1,Honors Chinese IV,Fall,Bev 023,"If you have demonstrated a higher level of language skills and greater interest in the study of Chinese, this course is appropriate for you. This advanced-level course is similar to Chinese 411, but you will explore topics in greater detail. This course is conducted entirely in Chinese. The objective of this course is to move you from controlled speaking situations to more independent, open dialogue. The topics that you will encounter include current events and social issues in the Chinese-speaking world. More complex sentence structures are introduced, allowing for discourse on broader topics. You will be introduced to classical Chinese and the role it plays in the modern language. You will read authentic materials to explore your interests in Chinese culture and language, culminating in presentations on your research.",One credit.,"Prerequisite: CHI 311, CHI 321, or equivalent. Placement based on screening process."
CHI522.1,Advanced Studies in Chinese I: Contemporary China and Chinese Culture,Spring,Bev 023,"This course focuses on Chinese culture and its evolution via a survey of history, geography, education, literature, philosophy, customs, arts, and politics. After reading culturally relevant articles and watching contemporary Chinese films or dramatic productions, you will explore Chinese people’s contemporary life and understand Chinese culture by doing research, discussing cultural phenomena, interviewing native speakers, and working on projects. The course provides you with opportunities to achieve proficiency across three modes of communication (interpretive, interpersonal, and presentational). The course is conducted entirely in Chinese. With some review of supplemental material outside of class, this course will prepare you for the AP Chinese language and culture exam.",One credit.,"Prerequisite: CHI 411, CHI 421, or equivalent. Placement based on screening process."
CHI611.1,Advanced Studies in Chinese II: Chinese Literature,Spring,Bev 023,"CHI 611  Advanced Studies in Chinese II: Chinese Literature
This advanced course delves deeply into Chinese literature. The course explores texts from ancient China up to the present, with a special emphasis on contemporary and modern Chinese literature. The course will be conducted in Chinese. If Chinese is your first language and you would like to study literature in Chinese, this is the appropriate level for you.",One credit.,Prerequisite: CHI 522 or equivalent. Placement based on screening process.
CMP312.1,Introduction to Computer Programming,Spring,Gilder 302,"In Introduction to Computer Programming, you will explore the basics of Java and Python, two powerful programming languages, through the creation of simple games and graphical programs. This hands-on approach will not only teach you programming fundamentals, including conditionals, loops, arrays, and basic object orientation, but also enhance your logical and critical-thinking skills. The course culminates in an open-ended project, allowing you to apply your new skills in a creative manner, with the flexibility to explore both languages in your final work.",Half-credit.,Prerequisite: None.
CMP431.1,Discrete Math with Python,Spring,Gilder 302,"In Discrete Math with Python, you will explore the intersection of mathematics and computer science, building on your precalculus foundation to study mathematical sets, algorithms, sequences and sums, and vectors and matrices. While focusing on the theory behind these concepts, you will use the programming language Python to enhance your understanding through practical applications. You will build a solid foundation in computer science and coding in Python, as well as an improved understanding of functions.",One credit.,Prerequisite: MAT 411 or equivalent. Placement based on screening process.
CMP521.1,Advanced Topics in Computer Science,Fall,Gilder 302,"Advanced Computer Science will provide you with an entry to a higher understanding of computer science through projects and collaboration. You will learn about the history and use of computer science, syntax and style of typed and non-typed languages, and data structures. More advanced topics will include studies of algorithms to solve computational problems, the introduction to machine learning, recursion, and data modeling.",One credit.,"Prerequisites: CMP 312 and MAT 411, equivalent, or departmental approval. Open to juniors, seniors, and PGs."
DAN341.1,Honors Ballet I: Technique and Theory,Fall,Rowland,"Honors Ballet I offers a rigorous and immersive study of ballet, emphasizing both technical training and a deeper understanding of its historical and physical foundations. Through a comprehensive exploration of ballet’s global history, dancers will examine how the form has evolved and continues to shape and be shaped by contemporary perspectives.
This course places a strong emphasis on ballet technique, focusing on alignment, artistry, and injury prevention through the study of anatomy and kinesiology. Dancers will refine their strength, precision, and musicality while developing the ability to execute longer, more complex movement sequences. Alongside physical training, students will engage in critical reflection — through writing, discussion, and practice — on how ballet informs personal identity and how they, in turn, contribute to its ongoing evolution.","Designed for dancers with prior ballet experience, this yearlong course provides one half-credit and may be repeated by students who seek continued technical and artistic growth.",Prerequisite: Audition/interview with instructor.
DAN341.1,Honors Ballet I: Technique and Theory,Spring,,"Honors Ballet I offers a rigorous and immersive study of ballet, emphasizing both technical training and a deeper understanding of its historical and physical foundations. Through a comprehensive exploration of ballet’s global history, dancers will examine how the form has evolved and continues to shape and be shaped by contemporary perspectives.
This course places a strong emphasis on ballet technique, focusing on alignment, artistry, and injury prevention through the study of anatomy and kinesiology. Dancers will refine their strength, precision, and musicality while developing the ability to execute longer, more complex movement sequences. Alongside physical training, students will engage in critical reflection — through writing, discussion, and practice — on how ballet informs personal identity and how they, in turn, contribute to its ongoing evolution.","Designed for dancers with prior ballet experience, this yearlong course provides one half-credit and may be repeated by students who seek continued technical and artistic growth.",Prerequisite: Audition/interview with instructor.
DAN341NC.1,Honors Ballet I: Technique and Theory (Fall only),Fall,Rowland,,,
DAN441.1,Honors Ballet II: Advanced Technique And Theory,Fall,Rowland,,,
DAN441.1,Honors Ballet II: Advanced Technique And Theory,Spring,,,,
DIV010.1,Diversity and Social Justice,Fall,Lib 101,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.10,Diversity and Social Justice,Spring,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.11,Diversity and Social Justice,Spring,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.2,Diversity and Social Justice,Fall,Blake 205,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.3,Diversity and Social Justice,Fall,Gilder 105,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.4,Diversity and Social Justice,Fall,Blake 205,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.5,Diversity and Social Justice,Winter,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.6,Diversity and Social Justice,Winter,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.7,Diversity and Social Justice,Winter,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.8,Diversity and Social Justice,Winter,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
DIV010.9,Diversity and Social Justice,Spring,,"Required one-term cocurricular for 10th-graders
.
The Diversity and Social Justice seminar focuses on improving intergroup relations by breaking down existing barriers as well as developing an appreciation of the diverse identities within the NMH community and the greater world. You will engage in discussions, interactive activities, and deep reflection to achieve the three course goals: 1) increasing personal awareness, providing you the opportunity to learn more about your own social awareness and identities, 2) expanding knowledge, providing you with information about the identities of others as well as helping you develop familiarity with social and historical issues of diversity, and 3) encouraging action, helping you to see yourself as an agent of change toward creating a more just and equitable world. The grade for this course appears on the NMH transcript at the end of the fall or spring semester. It is not factored into the NMH GPA, but it does influence calculations for some academic awards.",,
ENG111.1,Humanities I: English,Fall,Bev 217,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.2,Humanities I: English,Fall,Bev 217,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.3,Humanities I: English,Fall,Bev 217,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.4,Humanities I: English,Fall,Bev 217,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.5,Humanities I: English,Spring,,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.6,Humanities I: English,Spring,,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG111.7,Humanities I: English,Spring,,"Required of all 9th-graders except those enrolled in the ESOL program.
Ninth-grade English is part of the Humanities I program, which asks you to explore four essential questions: Who am I? What is my place? What does it mean to be human? How, then, shall I live? While developing the skills necessary to succeed on your NMH literary journey, you will repeatedly return to these essential questions. The English portion of the Humanities I program, which complements the work done in the religious studies and philosophy portion of the course, has two primary goals: to build an inclusive community of learners and to develop skills and habits for reading, writing, discussion, and critical thinking. You will read and discuss works of literature that seek to answer the four essential questions. You will support others and receive their support during poetry recitations, discussions, and classroom activities. You will practice writing in response to the reading, and you will have the opportunity to tell your own stories by writing personal narratives.",One credit.,Prerequisite: None.
ENG211.1,World Literature,Fall,Bev 236,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.10,World Literature,Spring,,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.11,World Literature,Spring,,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.2,World Literature,Fall,Bev 236,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.3,World Literature,Fall,Bev 238,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.4,World Literature,Fall,Bev 238,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.5,World Literature,Fall,Bev 236,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.6,World Literature,Fall,Bev 236,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.7,World Literature,Spring,,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.8,World Literature,Spring,,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG211.9,World Literature,Spring,,"Required of all 10th-graders except those enrolled in the ESOL program.
In this course, you will read literature from around the world and continue to develop the skills of critical reading, writing, and discussion. You will practice reading with close attention and grounding interpretations in concrete textual detail. Discussion is central to this course and becomes increasingly student-directed. A variety of informal writing exercises will help you to continue to develop your ability to express yourself clearly, and you will write (and revise) both personal and analytical essays. Readings will explore multiple genres –– drama, fiction, poetry –– and a wide range of authors, cultivating your appreciation for the richness and diversity of literature from around the world and developing a global perspective.",One credit.,Prerequisite: None.
ENG212.1,Creative Writing,Spring,,"You will write daily in this introductory-level elective, experimenting in various forms of creative writing that may include poetry, short stories, flash fiction, plays, and creative nonfiction. You will also read model texts with emphasis on the study of craft. This course emphasizes the creative writing process: sharing work with each other, producing multiple drafts, and critiquing. By the end of the semester, you will produce a collection, manuscript, or portfolio of work for assessment.",Half credit.,Prerequisite: None.
ENG214.1,Journalism,Fall,Bev 126,"Find relevant stories, ask good questions, write powerful sentences: These three endeavors comprise the core of quality journalism. Each also requires a ton of practice. In this class –– through your own reporting as well as close reading of published journalism –– you will develop skills in interviewing, story-finding, pitch-writing, scene construction, character development, descriptive writing, and thematic layering. You will conclude the semester with an ambitious independent reporting project on a topic of your choosing. Emphasis will be placed on planning and structuring independent, multistep projects, a set of skills that you will find transferable to numerous disciplines beyond journalism.",Half credit.,Prerequisite: None.
ENG311.1,American Literature,Fall,Bev 115,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.10,American Literature,Spring,,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.11,American Literature,Spring,,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.13,American Literature,Fall,Lib 104,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.2,American Literature,Fall,Bev 126,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.3,American Literature,Fall,Bev 127,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.4,American Literature,Fall,Bev 127,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.6,American Literature,Spring,,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
ENG311.7,American Literature,Spring,,"Open to juniors.
In American Literature, you will continue to develop and extend the skills taught in the first two years. The course examines particularly American themes, traditions, and voices. You will closely analyze literary texts, focusing on an author’s craft and exploring the relationship between form and content. Reading, informal writing-to-think practices, and discussion –– which by now is largely student-directed –– form the backbone of your daily work in class. Formal writing assignments, which emphasize the use of evidence in clear, coherent prose, may include assignments in the personal and/or creative modes, but the focus is on sustained literary analysis that builds on your close-reading skills.",One credit.,
